xpost,ypost,xposp,yposp,0,1,2,3,4,5,6,7,8,9,pred,target
0.64552,0.27176,0.25846,0.39909,0.98423,0.00177,0.00389,0.00194,0.00097,0.00009,0.00026,0.00182,0.00311,0.00193,0,0
0.89030,0.94903,0.22486,0.02211,0.01071,0.12862,0.00064,0.00382,0.00064,0.00134,0.00789,0.02004,0.00883,0.81747,9,9
0.28984,0.71324,0.64223,0.39066,0.00202,0.00356,0.02746,0.33437,0.00824,0.59014,0.01424,0.01088,0.00744,0.00164,5,2
0.42896,0.77747,0.91418,0.31561,0.00203,0.00004,0.00156,0.98069,0.00148,0.00580,0.00283,0.00117,0.00096,0.00343,3,3
0.41178,0.41694,0.31099,0.90486,0.00416,0.00029,0.98208,0.00219,0.00236,0.00216,0.00343,0.00200,0.00121,0.00012,2,2
0.65734,0.59279,0.49051,0.69608,0.00028,0.00227,0.00309,0.00268,0.00209,0.00075,0.98662,0.00018,0.00045,0.00159,6,6
0.49627,0.03300,0.12628,0.38895,0.00497,0.00271,0.00442,0.00145,0.00412,0.00310,0.00071,0.00004,0.97616,0.00232,8,8
0.42121,0.40251,0.31280,0.94596,0.00199,0.00011,0.99215,0.00096,0.00084,0.00096,0.00158,0.00089,0.00049,0.00004,2,2
0.00849,0.38166,0.16667,0.46285,0.00150,0.00125,0.00140,0.00104,0.00315,0.00268,0.00010,0.98624,0.00002,0.00263,7,7
0.42225,0.40765,0.30980,0.93433,0.00215,0.00013,0.99121,0.00108,0.00095,0.00114,0.00173,0.00099,0.00057,0.00005,2,2
0.99488,0.78522,0.00344,0.02707,0.00138,0.98684,0.00017,0.00003,0.00003,0.00351,0.00199,0.00111,0.00210,0.00285,1,1
0.88131,0.98743,0.34178,0.00973,0.00214,0.00368,0.00009,0.00345,0.00019,0.00006,0.00142,0.00320,0.00242,0.98335,9,9
0.28283,0.42674,0.21246,0.95438,0.01570,0.00096,0.26292,0.01623,0.62432,0.01800,0.02318,0.02148,0.01589,0.00132,4,4
0.20751,0.41169,0.13309,0.96451,0.00103,0.00006,0.00167,0.00174,0.98518,0.00213,0.00200,0.00314,0.00283,0.00022,4,4
0.50906,0.01080,0.10230,0.29347,0.00276,0.00242,0.00077,0.00069,0.00223,0.00166,0.00032,0.00002,0.98697,0.00216,8,8
0.23661,0.74842,0.40987,0.31899,0.00003,0.00234,0.00108,0.00323,0.00069,0.98977,0.00026,0.00175,0.00084,0.00002,5,5
0.19809,0.46572,0.22218,0.72932,0.00158,0.00168,0.00998,0.01756,0.67862,0.24744,0.00585,0.02208,0.01469,0.00051,4,5
0.99774,0.79045,0.00456,0.02587,0.00127,0.98695,0.00016,0.00003,0.00003,0.00353,0.00202,0.00110,0.00203,0.00289,1,1
0.43452,0.82733,1.00000,0.28521,0.00071,0.00001,0.00060,0.99107,0.00060,0.00353,0.00119,0.00047,0.00037,0.00144,3,3
0.20053,0.40191,0.12891,0.97555,0.00091,0.00005,0.00149,0.00153,0.98679,0.00188,0.00180,0.00287,0.00249,0.00019,4,4
0.65146,0.25852,0.25355,0.39410,0.98981,0.00112,0.00259,0.00124,0.00060,0.00004,0.00014,0.00110,0.00216,0.00120,0,0
0.19717,0.41734,0.13650,0.93483,0.00138,0.00009,0.00216,0.00230,0.97973,0.00304,0.00220,0.00602,0.00275,0.00033,4,4
0.49759,0.01371,0.11275,0.30647,0.00290,0.00201,0.00082,0.00081,0.00258,0.00154,0.00033,0.00002,0.98661,0.00238,8,8
0.64725,0.59401,0.49112,0.68654,0.00036,0.00264,0.00357,0.00338,0.00255,0.00093,0.98379,0.00023,0.00057,0.00199,6,6
0.00000,0.39310,0.16360,0.45560,0.00132,0.00131,0.00133,0.00094,0.00280,0.00292,0.00009,0.98697,0.00001,0.00230,7,7
0.43397,0.82626,0.99525,0.28559,0.00071,0.00001,0.00060,0.99063,0.00065,0.00365,0.00130,0.00049,0.00040,0.00157,3,3
0.21120,0.40623,0.13235,0.97670,0.00092,0.00005,0.00152,0.00157,0.98666,0.00187,0.00188,0.00283,0.00250,0.00019,4,4
0.64077,0.26223,0.25259,0.40768,0.98434,0.00165,0.00414,0.00183,0.00096,0.00008,0.00024,0.00151,0.00355,0.00170,0,0
0.50375,0.00058,0.12017,0.29201,0.00223,0.00157,0.00062,0.00070,0.00204,0.00140,0.00024,0.00001,0.98938,0.00181,8,8
0.51542,0.02065,0.10953,0.29957,0.00812,0.00274,0.00112,0.00098,0.00282,0.00133,0.00035,0.00003,0.97967,0.00284,8,8
0.42904,0.78620,0.92775,0.30584,0.00161,0.00003,0.00128,0.98302,0.00127,0.00549,0.00242,0.00100,0.00083,0.00305,3,3
0.41344,0.40246,0.31371,0.92235,0.00266,0.00017,0.98927,0.00132,0.00117,0.00133,0.00210,0.00121,0.00070,0.00006,2,2
0.87442,0.98044,0.33946,0.01678,0.00237,0.00404,0.00011,0.00372,0.00022,0.00007,0.00155,0.00351,0.00266,0.98175,9,9
0.50599,0.00579,0.10660,0.30515,0.00257,0.00180,0.00072,0.00069,0.00231,0.00139,0.00028,0.00001,0.98822,0.00203,8,8
0.44030,0.81871,0.99095,0.30329,0.00086,0.00001,0.00073,0.99000,0.00071,0.00358,0.00157,0.00051,0.00042,0.00161,3,3
0.65504,0.58747,0.48745,0.69006,0.00032,0.00256,0.00338,0.00300,0.00235,0.00086,0.98498,0.00021,0.00053,0.00181,6,6
0.83869,0.95147,0.59914,0.16810,0.01430,0.00483,0.00282,0.34959,0.00454,0.00479,0.02412,0.01468,0.01380,0.56652,9,9
0.50925,0.00525,0.10221,0.30304,0.00254,0.00165,0.00064,0.00061,0.00210,0.00122,0.00024,0.00001,0.98920,0.00179,8,8
0.00172,0.38489,0.16562,0.45944,0.00140,0.00121,0.00133,0.00098,0.00293,0.00255,0.00009,0.98690,0.00001,0.00259,7,7
0.23740,0.74987,0.41576,0.31977,0.00002,0.00201,0.00097,0.00317,0.00066,0.99055,0.00023,0.00163,0.00076,0.00002,5,5
0.64904,0.59007,0.48544,0.68723,0.00036,0.00275,0.00357,0.00323,0.00255,0.00094,0.98386,0.00023,0.00058,0.00194,6,6
0.41114,0.40534,0.31463,0.90841,0.00314,0.00022,0.98697,0.00162,0.00143,0.00164,0.00255,0.00149,0.00086,0.00008,2,2
0.63050,0.59314,0.51010,0.63101,0.00104,0.00388,0.00596,0.01044,0.00458,0.00153,0.96370,0.00059,0.00144,0.00683,6,6
0.43124,0.79835,0.94456,0.30828,0.00137,0.00003,0.00119,0.98527,0.00106,0.00514,0.00205,0.00086,0.00067,0.00237,3,3
0.01162,0.39919,0.17079,0.46125,0.00189,0.00157,0.00174,0.00128,0.00368,0.00317,0.00013,0.98330,0.00002,0.00322,7,7
0.65236,0.26455,0.25837,0.39288,0.98810,0.00134,0.00298,0.00147,0.00069,0.00006,0.00018,0.00137,0.00235,0.00145,0,0
